movie,release_year,movie_name
1,2003.0,Dinosaur Planet
2,2004.0,Isle of Man TT 2004 Review
3,1997.0,Character
4,1994.0,Paula Abdul's Get Up & Dance
5,2004.0,The Rise and Fall of ECW
6,1997.0,Sick
7,1992.0,8 Man
8,2004.0,What the #$*! Do We Know!?
9,1991.0,Class of Nuke 'Em High 2
10,2001.0,Fighter
11,1999.0,Full Frame: Documentary Shorts
12,1947.0,My Favorite Brunette
13,2003.0,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material
14,1982.0,Nature: Antarctica
15,1988.0,Neil Diamond: Greatest Hits Live
16,1996.0,Screamers
17,2005.0,7 Seconds
18,1994.0,Immortal Beloved
19,2000.0,By Dawn's Early Light
20,1972.0,Seeta Aur Geeta
21,2002.0,Strange Relations
22,2000.0,Chump Change
23,2001.0,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo
24,1981.0,My Bloody Valentine
25,1997.0,Inspector Morse 31: Death Is Now My Neighbour
26,2004.0,Never Die Alone
27,1962.0,Sesame Street: Elmo's World: The Street We Live On
28,2002.0,Lilo and Stitch
29,2001.0,Boycott
30,2003.0,Something's Gotta Give
31,1999.0,Classic Albums: Meat Loaf: Bat Out of Hell
32,2004.0,ABC Primetime: Mel Gibson's The Passion of the Christ
33,2000.0,Aqua Teen Hunger Force: Vol. 1
34,2003.0,Ashtanga Yoga: Beginner's Practice with Nicki Doane
35,2000.0,Ferngully 2: The Magical Rescue
36,1992.0,Lady Chatterley
37,1973.0,Zatoichi's Conspiracy
38,2003.0,Daydream Obsession
39,2000.0,Love Reinvented
40,2004.0,Pitcher and the Pin-Up
41,2000.0,Horror Vision
42,2002.0,Searching for Paradise
43,2000.0,Silent Service
44,1996.0,Spitfire Grill
45,1999.0,The Love Letter
46,1964.0,Rudolph the Red-Nosed Reindeer
47,1952.0,The Bad and the Beautiful
48,2001.0,Justice League
49,2003.0,Devo: The Complete Truth About De-evolution
50,1941.0,A Yank in the R.A.F.
51,2002.0,Jonah: A VeggieTales Movie: Bonus Material
52,2002.0,The Weather Underground
53,2003.0,The Bonesetter
54,1952.0,We're Not Married
55,1995.0,Jade
56,2004.0,Carandiru
57,1995.0,Richard III
58,1996.0,Dragonheart
59,2003.0,Sex and the Beauties
60,1969.0,The Libertine
61,1999.0,Ricky Martin: One Night Only
62,1991.0,Ken Burns' America: Empire of the Air
63,1943.0,Crash Dive
64,2001.0,Outside the Law
65,2000.0,Lost in the Pershing Point Hotel
66,1989.0,Barbarian Queen 2
67,1997.0,Vampire Journals
68,2004.0,Invader Zim
69,2003.0,WWE: Armageddon 2003
70,1999.0,Tai Chi: The 24 Forms
71,1995.0,Maya Lin: A Strong Clear Vision
73,1954.0,Davy Crockett: 50th Anniversary Double Feature
74,1999.0,6ixtynin9
75,1997.0,Grind
76,1952.0,I Love Lucy: Season 2
77,1995.0,Congo
78,1996.0,Jingle All the Way
79,1956.0,The Killing
80,1979.0,Winter Kills
81,1991.0,Antarctica: IMAX
82,1951.0,The Frogmen
83,1983.0,Silkwood
84,2002.0,The Powerpuff Girls Movie
85,2005.0,Elfen Lied
86,1996.0,Iron Monkey 2
87,2002.0,Louder Than Bombs
88,1998.0,Record of Lodoss War: Chronicles of the Heroic Knight
89,2000.0,Chain of Command
90,1951.0,The Lemon Drop Kid
91,2005.0,WWE: Royal Rumble 2005
92,2002.0,ECW: Cyberslam '99
93,2004.0,They Came Back
94,2000.0,G3: Live in Concert
95,1985.0,Dona Herlinda and Her Son
96,2000.0,Inside the Space Station
97,2002.0,Mostly Martha
98,1965.0,The Battle of Algiers: Bonus Material
99,1989.0,A Fishy Story
100,1993.0,Sam the Iron Bridge
101,1997.0,Complete Shamanic Princess
